BCUT2D_LOGPLOW,Chi2n,SlogP_VSA2,BCUT2D_CHGHI,BalabanJ,MolLogP,MinPartialCharge,BCUT2D_MRHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_MRLOW,MaxPartialCharge,MaxAbsEStateIndex,FpDensityMorgan2,BCUT2D_MWLOW,SMR_VSA3,VSA_EState3,MinAbsEStateIndex,VSA_EState7,VSA_EState5,VSA_EState8,FractionCSP3,MinEStateIndex,BCUT2D_MWHI,VSA_EState4,qed,PEOE_VSA7,Kappa3,VSA_EState6,SMR_VSA7,EState_VSA3,PEOE_VSA6,PEOE_VSA8,EState_VSA5,EState_VSA9,EState_VSA2,PEOE_VSA9,EState_VSA4,VSA_EState1,VSA_EState9,EState_VSA7,EState_VSA8,SMR_VSA6,SlogP_VSA3,SMR_VSA10,PEOE_VSA10,EState_VSA6,SMR_VSA4,PEOE_VSA11,fr_Al_OH,PEOE_VSA3,SMR_VSA9,VSA_EState10,SlogP_VSA10,NumSaturatedRings,PEOE_VSA14,SlogP_VSA12,SlogP_VSA11,fr_Ar_N,fr_pyridine,PEOE_VSA5,PEOE_VSA13,PEOE_VSA4,fr_bicyclic,fr_NH0,fr_halogen,fr_phenol_noOrthoHbond,fr_COO2,fr_unbrch_alkane,fr_aniline,fr_Ndealkylation1,SlogP_VSA7,fr_allylic_oxid,fr_ester,fr_Ndealkylation2,fr_guanido,fr_imidazole,fr_ArN,NumSaturatedCarbocycles,fr_Ar_NH,fr_oxime,Target
-2.274546444,2.554431628,29.12941566,2.033926039,2.282270099,0.0197,-0.35004699,5.932246598,-2.026420023,1.936628044,-0.756738983,0.294060895,11.31282785,2.466666667,10.25528161,10.30076712,11.31400183,0.078082955,2.954682548,-0.337918556,-0.089573649,0.25,-0.906518959,16.94917415,0.401484316,0.420563695,12.13273414,4.028918379,3.221354954,40.20419104,5.563451492,0,18.93844355,6.196843572,0,19.0588181,5.563451492,0,0,0,0,15.13835571,13.15163837,4.837588584,5.907179729,6.606881965,18.32957771,0,0,0,0,0,0,0,0,0,0,0,1,1,10.11431827,10.99379877,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-2.089187233,2.424764312,10.19736362,1.980067958,2.79096703,0.9154,-0.306453866,5.900450412,-2.007469749,2.169958469,1.038676305,0.170033375,5.263408919,2.083333333,10.1756654,10.19736362,9.640092593,0.604722222,1.704537037,5.868131141,0,0,0.604722222,15.29236709,2.496342593,0.480554166,0,0.98077884,7.790896636,30.46231185,5.817862778,24.26546827,10.77244843,0,5.84267027,0,6.196843572,10.77244843,0,0,24.26546827,15.62315501,5.425791397,0,16.59031121,0,6.196843572,5.84267027,5.817862778,0,5.84267027,0,0,5.817862778,0,0,0,0,2,0,5.098681808,0,5.098681808,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
-2.071464053,2.502112063,14.09534397,1.934891319,2.9098228,2.1505,-0.377659388,5.51048872,-2.104827425,2.165116351,1.131278956,0.107651161,10.02403156,1.727272727,10.25833054,0,2.802482993,0.468148148,0,0,0,0.25,0.468148148,16.25080914,1.535185185,0.604910708,29.4423502,1.767374153,7.109259259,29.17253352,5.687386275,0,19.78273024,0,0,0,0,5.687386275,0,3.895526266,31.12798783,5.176881928,18.9952537,0,11.37477255,5.687386275,12.13273414,5.176881928,0,0,0,0,0,11.37477255,0,0,0,0,0,0,4.907065244,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
-2.049545607,2.271353983,0,2.299756,3.138261336,2.5763,-0.397816662,7.800718218,-2.071231551,2.314021993,-0.137120306,0.41598654,12.01907974,1.833333333,10.17362344,0,0,0.03533179,-4.337700617,0,0,0.142857143,-4.337700617,32.11691115,4.524220679,0.48034804,18.19910121,1.849456423,3.030054012,23.7625527,4.895483476,0,10.58286975,6.066367068,5.733667477,5.687386275,5.563451492,12.13273414,36.05723923,0,0,12.62878915,5.733667477,6.176298517,18.31617542,0,0,0,0,0,0,0,3.848408919,18.85863142,0,6.176298517,12.62878915,0,0,0,12.62878915,0,13.17124514,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-2.708226677,7.102951363,77.63307832,2.546546154,1.80385937,-0.1683,-0.462374919,7.998386368,-2.492031724,2.405246858,-0.182265479,0.404316905,13.00412381,2.085714286,10.02196338,10.21669833,5.527673053,0.123874138,-0.975614024,-2.754108005,2.088539059,0.4,-1.243679472,32.16663764,4.886413668,0.147471543,12.13273414,5.737966949,2.028835819,35.42628839,0,5.155712727,25.17343254,38.12494975,29.19899586,35.10181184,6.263162996,11.82364693,19.89799926,1.248636186,0,10.47250133,19.46953311,38.22632618,47.31978006,30.82943246,6.066367068,10.8893802,5.760247419,0,9.589074368,0,1.21250231,4.794537184,1,18.03185065,11.76188495,0,0,0,11.76188495,11.81435946,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
-2.60713825,17.37463844,154.377831,2.403039322,1.680525786,-4.13203,-0.507966645,8.762953032,-2.305357396,2.259175081,-0.141888293,0.246223609,14.55880445,1.337837838,10.01028877,47.43421856,37.74463862,0.016296657,-1.328406248,-9.897103755,-0.343262088,0.47826087,-1.77264894,33.11460815,22.65489937,0.027500717,55.36374523,20.11789498,4.502452559,65.7242066,17.54772461,64.05236543,50.27850652,17.03264387,28.34395351,74.82921616,12.96557803,21.58779595,0,2.184489326,0,42.53430883,31.13997643,65.58155227,92.52632754,48.04239764,42.46456948,22.93466991,5.959554569,0,0,5.749511833,0,0,2,0,21.58779595,5.749511833,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
-2.355345582,6.357106539,12.07327168,2.332849761,2.100599857,3.8864,-0.458412224,5.945919868,-2.362820829,2.354221596,-0.017263241,0.340015625,12.30633031,2,9.751954226,0,0,0.019311224,3.34545194,1.330812337,6.643845899,0.588235294,-0.284398148,16.5440269,6.815727671,0.672344352,42.72809552,3.326113787,7.107554065,29.82891977,29.0045559,39.32476736,5.687386275,6.420821623,10.47053043,12.07327168,5.563451492,12.84164325,5.783611111,0,12.13273414,20.7712116,5.733667477,4.736862954,11.65669156,6.103966388,12.13273414,17.75371814,0,0,4.794537184,0,0,5.687386275,1,5.969305288,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
-2.242679541,3.167606775,44.62190762,2.346427604,4.807810709,2.0054,-0.465927553,8.552175239,-2.183188109,2.612452283,-0.148720882,0.388929368,11.9677977,1.631578947,10.28868382,0,-0.995617284,0.155738694,-0.255902778,-1.234548847,0.161007574,0.8,-3.48193417,32.73601821,0,0.471510294,25.2291992,6.960471658,0,0,11.3817248,0,14.21959508,14.21959508,18.52122023,19.63458555,19.63458555,0,30.98444468,2.39654006,0,0,27.43335901,32.67534288,30.11796286,5.24993803,13.8474744,0,0,0,4.565048285,0,0.630117158,0,0,18.73623807,18.17935229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
-2.714582959,10.12220089,95.40065898,2.534190336,1.536716966,-3.9033,-0.543190718,7.998370792,-2.499877204,2.399309503,-0.764665417,0.349825169,13.22599019,2.022222222,10.02108183,29.57280838,32.00189946,0.010551206,1.502787633,-4.657787986,2.858473011,0.434782609,-1.824662047,32.16668762,14.96049015,0.049306215,13.8474744,6.755872774,-1.719910663,23.29139191,5.57310453,5.155712727,35.94795756,36.48800586,22.03859102,53.54537417,18.71401658,16.43239634,6.947020574,1.59913146,0,30.46359704,35.62648998,37.60816571,75.42694864,11.41571364,11.72947492,17.93705219,23.18156394,0,9.589074368,0,1.930152682,21.43134472,1,12.0004198,23.29437156,0,4,0,21.12549082,11.81435946,9.357518502,1,6,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,1,0
-1.753291798,3.093748049,10.21305479,1.964564908,2.39650904,2.7648,-0.507966245,5.641729762,-2.009897989,2.228460979,0.474326014,0.11511841,9.107689174,0.785714286,10.05963275,0,18.21537835,0.25697069,0,0.513941379,0,0,0.25697069,16.25644884,2.032962963,0.718468894,35.39237126,1.689069008,13.90438398,48.53093655,0,24.26546827,0,0,10.21305479,11.49902367,0,11.12690298,0,0,24.26546827,0,0,0,0,11.49902367,24.26546827,0,0,0,0,22.62592665,0,0,0,0,0,11.49902367,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
